AlbumId,AlbumName,AlbumReleaseDate,GenreId,ArtistId,AlbumPopularity,TotalTracks
3j7nicLAWXM0Fb08q9XGyf,Pearl (Legacy Edition),1971-01-11,2bD8JWzDBOnSeUcsjVU2SD,4NgfOZCL9Ml67xzM0xzIvC,69,4
1w7JOjdpfTBz4rvhWQDWJz,The Marshall Tucker Band,1973-01-01,3k3eu6dnokyqCk2UD6GID3,59QxeZBL6k9L4oJBGSyukd,64,8
56G9UnPmRifbubzPDJfAyd,Coda (Deluxe Edition),1982-11-19,16VhHtoaOjTU4AJBNSBNQ1,36QJpDe2go2KgaRleHCDTp,61,8
53oqFs4q8sfqH6IPiyleEN,Free,1969-10-01,5Zbxc0wu95kL74YEhMzUmL,4596e2d3KmYzAeVenjCxfj,44,4
3zMRSD0zUqopFPaoER2ODc,Back To The Egg,1979-06-06,1rHvKz5JPpCf9IJDHsyX8P,3sFhA6G1N0gG1pszb6kk1m,58,1
3W6CI0Lw7lElAPID2Fd3B4,Disraeli Gears (Deluxe Edition),1967-11-01,47bXIv24jthL4vzZy3j7CY,74oJ4qxwOZvX6oSsu1DGnw,70,1
16oKZSg3msLgn69IK1puzi,St. John Green,2014-09-23,47p2NnvtB2xG9MhTcQpcs0,66Dx7ivzkFULFRIPPvnlxk,36,3
3NpLHWshxHfxbhdYdgtmPL,Blues From Laurel Canyon,2007-01-01,0YCyXedYGnoaAOdirCzOR3,2ScuQMRWThcifBRIvNDFDC,35,7
0Ez9S8Dhzr1fa6ZCkcIJiR,Born Under A Bad Sign (Mono),1967-01-01,5DUWIeIriroyHEbPdqxEFG,5aygfDCEaX5KTZOxSCpT9o,57,4
160euwnzg8f0oSEz3on32Z,A Hard Road,1967-02-17,4fP9hwZKpP7BiEoMOTecHm,2ScuQMRWThcifBRIvNDFDC,42,1
3W6CI0Lw7lElAPID2Fd3B4,Disraeli Gears (Deluxe Edition),1967-11-01,3oaSvU9VBBmyfPA4lbibQM,74oJ4qxwOZvX6oSsu1DGnw,70,9
2d1Ak1JqfBZa2dbmBNPfXH,Yardbirds '68,2017-11-05,3iJ3aUaosOAdlVbAIJGwao,2lxX1ivRYp26soIavdG9bX,29,13
3uFZf8rykoHo7XMIQVYW6r,Axis: Bold As Love,1967-12-01,0uco0wQkB909zpPlHvu5Cc,776Uo845nYHJpNaStv1Ds4,70,13
2wQsSBMLBcaXqkkIs35XxR,Gettin' Together,1967-01-11,1XyWR4W4RW6sIlVZCRIf9i,01hRNr3yF5bYnPq4wZ88iI,41,12
3q90UAYeHLvAtnowiQlmgp,Cold Fact,1970-03-05,3hgVJGSwCFY8M84FavQwdD,0gg11prPP6OqtUvBcKnPpq,69,6
2VNMoSXYKrjAAU4aqiTvtY,In Motion Pictures,2012-01-01,31Tp5iKrVUayn65qhg06nE,2BGRfQgtzikz1pzAD0kaEn,62,14
24E6rDvGDuYFjlGewp4ntF,Evil Empire,1996-04-16,0tZ3mElWcr74OOhKEiNz1x,2d0hyoQ5ynDBnkvAbJKORj,72,2
